molrepo_name,src_id,smiles,inchikey,inchi
repohub,(R)-(-)-apomorphine,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,VMWNQDUVQKEIOC-CYBMUJFWSA-N,VMWNQDUVQKEIOC-CYBMUJFWSA-N
repohub,(R)-(-)-rolipram,COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1,HJORMJIFDVBMOB-LBPRGKRZSA-N,HJORMJIFDVBMOB-LBPRGKRZSA-N
repohub,(R)-baclofen,NC[C@H](CC(O)=O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-QMMMGPOBSA-N,KPYSYYIEGFHWSV-QMMMGPOBSA-N
repohub,(S)-(+)-rolipram,COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1,HJORMJIFDVBMOB-GFCCVEGCSA-N,HJORMJIFDVBMOB-GFCCVEGCSA-N
repohub,"[sar9,met(o2)11]-substance-p",CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,OUPXSLGGCPUZJJ-SARDKLJWSA-N,OUPXSLGGCPUZJJ-SARDKLJWSA-N
repohub,"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,LDLCEGCJYSDJLX-UPHRSURJSA-N,LDLCEGCJYSDJLX-UPHRSURJSA-N
repohub,"1-(1,2-diphenylethyl)piperidine-(+/-)",C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|,JQWJJJYHVHNXJH-LJQANCHMSA-N,JQWJJJYHVHNXJH-LJQANCHMSA-N
repohub,1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,"CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl |&1:5,r|",NJEIOWSBPCZKTL-LLVKDONJSA-N,NJEIOWSBPCZKTL-LLVKDONJSA-N
repohub,1-acetyl-4-methylpiperazine,CN1CCN(CC1)C(C)=O,YSDBJKNOEWSFGA-UHFFFAOYSA-N,YSDBJKNOEWSFGA-UHFFFAOYSA-N
repohub,1-azakenpaullone,Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1,NTSBZVCEIVPKBJ-UHFFFAOYSA-N,NTSBZVCEIVPKBJ-UHFFFAOYSA-N
repohub,1-deoxymannojirimycin,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,LXBIFEVIBLOUGU-KVTDHHQDSA-N,LXBIFEVIBLOUGU-KVTDHHQDSA-N
repohub,1-EBIO,CCn1c2ccccc2[nH]c1=O,CXUCKELNYMZTRT-UHFFFAOYSA-N,CXUCKELNYMZTRT-UHFFFAOYSA-N
repohub,1-ethyl-2-pyrrolidone,CCN1CCCC1=O,ZFPGARUNNKGOBB-UHFFFAOYSA-N,ZFPGARUNNKGOBB-UHFFFAOYSA-N
repohub,1-hexadecanal,CCCCCCCCCCCCCCCC=O,NIOYUNMRJMEDGI-UHFFFAOYSA-N,NIOYUNMRJMEDGI-UHFFFAOYSA-N
repohub,1-hexadecanol,CCCCCCCCCCCCCCCCO,BXWNKGSJHAJOGX-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N
repohub,1-naphthyl-PP1,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,XSHQBIXMLULFEV-UHFFFAOYSA-N,XSHQBIXMLULFEV-UHFFFAOYSA-N
repohub,1-octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,CNNRPFQICPFDPO-UHFFFAOYSA-N,CNNRPFQICPFDPO-UHFFFAOYSA-N
repohub,1-octanol,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N
repohub,1-phenylbiguanide,NC(N)=NC(=N)Nc1ccccc1,CUQCMXFWIMOWRP-UHFFFAOYSA-N,CUQCMXFWIMOWRP-UHFFFAOYSA-N
repohub,"1,12-Besm",CCNCCCNCCCCNCCCNCC,PGMIWVSHZMWSSI-UHFFFAOYSA-N,PGMIWVSHZMWSSI-UHFFFAOYSA-N
repohub,"1,2,3,4,5,6-hexabromocyclohexane",BrC1C(Br)C(Br)C(Br)C(Br)C1Br,QFQZKISCBJKVHI-UHFFFAOYSA-N,QFQZKISCBJKVHI-UHFFFAOYSA-N
repohub,"1,3-dipropyl-8-phenylxanthine",CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1,CLIGSMOZKDCDRZ-UHFFFAOYSA-N,CLIGSMOZKDCDRZ-UHFFFAOYSA-N
repohub,"1,4-butanediol",OCCCCO,WERYXYBDKMZEQL-UHFFFAOYSA-N,WERYXYBDKMZEQL-UHFFFAOYSA-N
repohub,"1,5-dicaffeoylquinic-acid",O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,YDDUMTOHNYZQPO-PSEXTPKNSA-N,YDDUMTOHNYZQPO-PSEXTPKNSA-N
repohub,10-deacetylbaccatin,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|,YWLXLRUDGLRYDR-ZHPRIASZSA-N,YWLXLRUDGLRYDR-ZHPRIASZSA-N
repohub,10-DEBC,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,GYBXAGDWMCJZJK-UHFFFAOYSA-N,GYBXAGDWMCJZJK-UHFFFAOYSA-N
repohub,10-hydroxycamptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,HAWSQZCWOQZXHI-FQEVSTJZSA-N,HAWSQZCWOQZXHI-FQEVSTJZSA-N
repohub,10058-F4,CCc1ccc(\C=C2\SC(=S)NC2=O)cc1,SVXDHPADAXBMFB-JXMROGBWSA-N,SVXDHPADAXBMFB-JXMROGBWSA-N
repohub,12-O-tetradecanoylphorbol-13-acetate,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|",PHEDXBVPIONUQT-RGYGYFBISA-N,PHEDXBVPIONUQT-RGYGYFBISA-N
repohub,1400W,CC(=N)NCc1cccc(CN)c1,RODUKNYOEVZQPR-UHFFFAOYSA-N,RODUKNYOEVZQPR-UHFFFAOYSA-N
repohub,"16,16-dimethylprostaglandin-e2",CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,QAOBBBBDJSWHMU-WMBBNPMCSA-N,QAOBBBBDJSWHMU-WMBBNPMCSA-N
repohub,17-hydroxyprogesterone-caproate,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |t:15|,DOMWKUIIPQCAJU-LJHIYBGHSA-N,DOMWKUIIPQCAJU-LJHIYBGHSA-N
repohub,17-PA,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|,SINAMTXBCYKFDL-WBJZGETLSA-N,SINAMTXBCYKFDL-WBJZGETLSA-N
repohub,1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|,NFONIVRMILHYLH-GOSISDBHSA-N,NFONIVRMILHYLH-GOSISDBHSA-N
repohub,"1S,2R-phenylpropanolamine",C[C@@H](N)[C@@H](O)c1ccccc1,DLNKOYKMWOXYQA-VXNVDRBHSA-N,DLNKOYKMWOXYQA-VXNVDRBHSA-N
repohub,2-(1-adamantylamino)benzoic-acid,OC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,XKZLSYWCDJZTMW-UHFFFAOYSA-N,XKZLSYWCDJZTMW-UHFFFAOYSA-N
repohub,2-(3-mercaptopropyl)pentanedioic-acid,"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|",FNLNSQHJKVQCBP-ZCFIWIBFSA-N,FNLNSQHJKVQCBP-ZCFIWIBFSA-N
repohub,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",ClC=C1Nc2sc3CCCCc3c2C(=O)N1,UTWSZXBGTLNPOV-UHFFFAOYSA-N,UTWSZXBGTLNPOV-UHFFFAOYSA-N
repohub,2-[1-(4-piperonyl)piperazinyl]benzothiazole,C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,BYHKGNWKJMGHGE-UHFFFAOYSA-N,BYHKGNWKJMGHGE-UHFFFAOYSA-N
repohub,2-aminobenzenesulfonamide,Nc1ccccc1S(N)(=O)=O,YAZSBRQTAHVVGE-UHFFFAOYSA-N,YAZSBRQTAHVVGE-UHFFFAOYSA-N
repohub,2-APB,NCCOB(c1ccccc1)c1ccccc1,BLZVCIGGICSWIG-UHFFFAOYSA-N,BLZVCIGGICSWIG-UHFFFAOYSA-N
repohub,2-BFI,C1CN=C(N1)c1cc2ccccc2o1 |c:2|,YTJOHEUHUVBKSB-UHFFFAOYSA-N,YTJOHEUHUVBKSB-UHFFFAOYSA-N
repohub,2-chloro-N6-cyclopentyladenosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,XSMYYYQVWPZWIZ-IDTAVKCVSA-N,XSMYYYQVWPZWIZ-IDTAVKCVSA-N
repohub,2-chloroadenosine,Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,BIXYYZIIJIXVFW-UUOKFMHZSA-N,BIXYYZIIJIXVFW-UUOKFMHZSA-N
repohub,2-chloropyrazine,Clc1cnccn1,GELVZYOEQVJIRR-UHFFFAOYSA-N,GELVZYOEQVJIRR-UHFFFAOYSA-N
repohub,2-CMDO,CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12 |t:8|,OTKUTGIVEREJLL-UHFFFAOYSA-N,OTKUTGIVEREJLL-UHFFFAOYSA-N
repohub,2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose,"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|",VUVHIMLGTHRGQZ-YTLHQDLWSA-N,VUVHIMLGTHRGQZ-YTLHQDLWSA-N
repohub,2-deoxyglucose,OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,PMMURAAUARKVCB-ZXXMMSQZSA-N,PMMURAAUARKVCB-ZXXMMSQZSA-N
repohub,2-ethoxybenzoic-acid,CCOc1ccccc1C(O)=O,XDZMPRGFOOFSBL-UHFFFAOYSA-N,XDZMPRGFOOFSBL-UHFFFAOYSA-N
repohub,"2-ethyl-1,3-hexanediol","CCC[C@@H](O)[C@@H](CC)CO |&1:3,&2:5,r|",RWLALWYNXFYRGW-JGVFFNPUSA-N,RWLALWYNXFYRGW-JGVFFNPUSA-N
repohub,2-fluoro-2-deoxy-D-galactose,"OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O |&1:2,&2:4,&3:6,&4:8,&5:10,r|",ZCXUVYAZINUVJD-AIECOIEWSA-N,ZCXUVYAZINUVJD-AIECOIEWSA-N
repohub,2-fluorofucose,C[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O |&1:3|,IRKXGKIPOMIQOD-QYESYBIKSA-N,IRKXGKIPOMIQOD-QYESYBIKSA-N
repohub,"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione","OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C(=O)C(=C(O)\C=C\c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O |a:2,4,5,7,9,30,32,35,37,39,&1:11,&2:14,&3:28|",BWKBPVRNWJFLSC-FROSJQSHSA-N,BWKBPVRNWJFLSC-FROSJQSHSA-N
repohub,2-hydroxyethyl-salicylate,OCCOC(=O)c1ccccc1O,LVYLCBNXHHHPSB-UHFFFAOYSA-N,LVYLCBNXHHHPSB-UHFFFAOYSA-N
repohub,2-hydroxyflutamide,CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,YPQLFJODEKMJEF-UHFFFAOYSA-N,YPQLFJODEKMJEF-UHFFFAOYSA-N
repohub,2-hydroxysaclofen,"NC[C@@](O)(CS(O)(=O)=O)c1ccc(Cl)cc1 |&1:2,r|",WBSMZVIMANOCNX-SECBINFHSA-N,WBSMZVIMANOCNX-SECBINFHSA-N
repohub,2-iminobiotin,NC1=N[C@H]2CS[C@@H](CCCCC(O)=O)[C@H]2N1 |t:1|,WWVANQJRLPIHNS-ZKWXMUAHSA-N,WWVANQJRLPIHNS-ZKWXMUAHSA-N
repohub,2-iodohippuric-acid,OC(=O)CNC(=O)c1ccccc1I,CORFWQGVBFFZHF-UHFFFAOYSA-N,CORFWQGVBFFZHF-UHFFFAOYSA-N
repohub,2-iodomelatonin,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,FJDDSMSDZHURBJ-UHFFFAOYSA-N,FJDDSMSDZHURBJ-UHFFFAOYSA-N
repohub,2-methoxyestradiol,COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,CQOQDQWUFQDJMK-SSTWWWIQSA-N,CQOQDQWUFQDJMK-SSTWWWIQSA-N
repohub,2-methyl-5-hydroxytryptamine,Cc1[nH]c2ccc(O)cc2c1CCN,WYWNEDARFVJQSG-UHFFFAOYSA-N,WYWNEDARFVJQSG-UHFFFAOYSA-N
repohub,2-methyl-5-nitrophenol,Cc1ccc(cc1O)[N+]([O-])=O,UMFDLIXUUJMPSI-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N
repohub,2-methylimidazole,Cc1ncc[nH]1,LXBGSDVWAMZHDD-UHFFFAOYSA-N,LXBGSDVWAMZHDD-UHFFFAOYSA-N
repohub,2-octyldodecan-1-ol,"CCCCCCCCCC[C@@H](CO)CCCCCCCC |&1:10,r|",LEACJMVNYZDSKR-FQEVSTJZSA-N,LEACJMVNYZDSKR-FQEVSTJZSA-N
