Uniprot,GeneName
Q96R72,OR4K3
Q96R72,OR4K3P
Q9UKL2,OR52A1
Q9H205,OR2AG1
Q9H205,OR2AG3
Q8NGN2,OR10S1
Q8NGC1,OR11G2
O60502,OGA
O60502,HEXC
O60502,KIAA0679
O60502,MEA5
O60502,MGEA5
Q8NGX2,OR2T35
A6NGY5,OR51F1
A6NGY5,OR51F1P
Q8NGE3,OR10P1
Q8NGE3,OR10P1P
Q8NGE3,OR10P2P
Q8NGE3,OR10P3P
Q6IF63,OR52W1
Q6IF63,OR52W1P
Q9BXB4,OSBPL11
Q9BXB4,ORP11
Q9BXB4,OSBP12
Q9UJX0,OSGIN1
Q9UJX0,BDGI
Q9UJX0,OKL38
Q6A1A2,PDPK2P
Q6A1A2,PDPK2
Q96S52,PIGS
Q96S52,UNQ1873/PRO4316
P13686,ACP5
P17980,PSMC3
P17980,TBP1
Q5THK1,PRR14L
Q5THK1,C22orf30
P0CG20,PRR35
P0CG20,C16orf11
Q9ULL5,PRR12
Q9ULL5,KIAA1205
Q6NWY9,PRPF40B
Q6NWY9,HYPC
Q5TYX0,PRAMEF5
Q5TYX0,PRAMEF23
Q5TYX0,PRAMEF5L
Q5VTA0,PRAMEF17
Q00LT1,PRCD
Q9UMR5,PPT2
P0DJ07,PET100
P0DJ07,C19orf79
Q8WV60,PTCD2
Q96EY7,PTCD3
Q96EY7,MRPS39
Q96EY7,TRG15
Q7RTS3,PTF1A
Q7RTS3,BHLHA29
Q7RTS3,PTF1P48
P20962,PTMS
Q92530,PSMF1
O14957,UQCR11
O14957,UQCR
Q6ZRP7,QSOX2
Q6ZRP7,QSCN6L1
Q6ZRP7,SOXN
Q8TBF2,PRXL2B
Q8TBF2,C1orf93
Q8TBF2,FAM213B
Q86YV0,RASAL3
Q8NFJ5,GPRC5A
Q8NFJ5,GPCR5A
Q8NFJ5,RAI3
Q8NFJ5,RAIG1
Q14206,RCAN2
Q14206,DSCR1L1
Q14206,ZAKI4
Q9Y2P8,RCL1
Q9Y2P8,RNAC
Q9Y2P8,RPC2
Q9Y2P8,RPCL1
Q9Y2P8,RTC2
Q9Y2P8,HSPC338
A4D1S5,RAB19
A4D1S5,RAB19B
P61106,RAB14
O95716,RAB3D
O95716,GOV
O95716,RAB16
Q8N4Z0,RAB42
P49795,RGS19
P49795,GAIP
P49795,GNAI3IP
Q7L0Q8,RHOU
Q7L0Q8,ARHU
Q7L0Q8,CDC42L1
Q7L0Q8,G28K
Q7L0Q8,WRCH1
Q7L0Q8,SB128
Q9BQ08,RETNLB
Q9BQ08,CCRG
Q9BQ08,FIZZ2
Q9BQ08,HXCP2
Q9BQ08,RETNL2
Q9BQ08,UNQ408/PRO770
Q9HB40,SCPEP1
Q9HB40,RISC
Q9HB40,SCP1
Q9HB40,MSTP034
Q9HB40,UNQ265/PRO302
Q8NHV9,RHOXF1
Q8NHV9,OTEX
Q8NHV9,PEPP1
P07949,RET
P07949,CDHF12
P07949,CDHR16
P07949,PTC
P07949,RET51
Q8TAC1,RFESD
Q9UJD0,RIMS3
Q9UJD0,KIAA0237
P50914,RPL14
Q969Q0,RPL36AL
Q9NSD7,RXFP3
Q9NSD7,GPCR135
Q9NSD7,RLN3R1
Q9NSD7,SALPR
Q9HCK4,ROBO2
Q9HCK4,KIAA1568
Q9H1D9,POLR3F
P35372,OPRM1
P35372,MOR1
O14581,OR7A17
Q99489,DDO
Q8NGM8,OR6M1
Q9GZK6,OR2J1
Q9GZK6,OR2J1P
Q149M9,NWD1
Q8NGE7,OR9K2
Q6N063,OGFOD2
O95158,NXPH4
O95158,NPH4
O95158,UNQ1928/PRO4403
A6NMZ5,OR4C45
Q8NGL6,OR4A15
Q8NGC8,OR11H7
Q8NGC8,OR11H7P
Q06190,PPP2R3A
Q06190,PPP2R3
A6NJZ3,OR6C65
Q3SX64,ODF3L2
Q3SX64,C19orf19
P00480,OTC
Q9NVV4,MTPAP
Q9NVV4,PAPD1
Q9NPH6,OBP2B
Q9NPH6,UNQ653/PRO1283
Q8NDF8,TENT4B
Q8NDF8,GLD4
Q8NDF8,PAPD5
Q8NDF8,TRF4-2
Q8NDF8,TUT3
P0DN37,PPIAL4G
O15381,NVL
O15381,NVL2
A8MZH6,OOSP1
Q8NGH7,OR52L1
O95340,PAPSS2
O95340,ATPSK2
Q6ZVX9,PAQR9
P57723,PCBP4
Q8TEZ7,PAQR8
Q8TEZ7,C6orf33
Q8TEZ7,LMPB1
Q8TEZ7,MPRB
Q460N5,PARP14
Q460N5,BAL2
Q460N5,KIAA1268
Q96QU1,PCDH15
Q96QU1,USH1F
Q6P474,PDXDC2P
Q6P474,PDXDC2
P13667,PDIA4
P13667,ERP70
P13667,ERP72
P09466,PAEP
Q13087,PDIA2
Q13087,PDIP
Q15084,PDIA6
Q15084,ERP5
Q15084,P5
Q15084,TXNDC7
Q53GL7,PARP10
Q5MIZ7,PPP4R3B
Q5MIZ7,KIAA1387
Q5MIZ7,PP4R3B
Q5MIZ7,SMEK2
A4QPH2,PI4KAP2
Q92561,PHYHIP
Q92561,DYRK1AP3
Q92561,KIAA0273
Q8IYJ0,PIANP
Q8IYJ0,C12orf53
Q8IYJ0,PANP
Q8IYJ0,UNQ828/PRO1755
Q8WWW0,RASSF5
Q8WWW0,NORE1
Q8WWW0,RAPL
Q06609,RAD51
Q06609,RAD51A
Q06609,RECA
O75452,RDH16
O75452,RODH4
O75452,SDR9C8
Q9UBK7,RABL2A
Q9UKM9,RALY
Q9UKM9,HNRPCL2
Q9UKM9,P542
A0AV96,RBM47
P46060,RANGAP1
P46060,KIAA1835
P46060,SD
Q96IS3,RAX2
Q96IS3,QRX
Q96IS3,RAXL1
P61572,ERVK-19
Q9BRK0,REEP2
Q9BRK0,C5orf19
Q9BRK0,SGC32445
A1A4S6,ARHGAP10
A1A4S6,GRAF2
P61020,RAB5B
Q6ZS17,RIPOR1
Q6ZS17,FAM65A
Q6ZS17,KIAA1930
P15927,RPA2
P15927,REPA2
P15927,RPA32
P15927,RPA34
P62888,RPL30
Q9P015,MRPL15
Q9P015,HSPC145
Q9HAT0,ROPN1
Q9HAT0,ROPN1A
Q9Y6N7,ROBO1
Q9Y6N7,DUTT1
Q13151,HNRNPA0
Q13151,HNRPA0
P60602,ROMO1
P60602,C20orf52
Q13464,ROCK1
Q9P1U0,POLR1H
Q9P1U0,RPA12
Q9P1U0,ZNRD1
Q3B726,POLR1F
Q3B726,TWISTNB
Q9NV58,RNF19A
Q9NV58,RNF19
P78346,RPP30
P78346,RNASEP2
Q9BUL9,RPP25
Q8N6L0,KASH5
Q8N6L0,CCDC155
Q8IUC0,KRTAP13-1
Q8IUC0,KAP13.1
Q8IUC0,KRTAP13.1
P60368,KRTAP10-2
P60368,KAP10.2
P60368,KAP18-2
P60368,KRTAP10.2
P60368,KRTAP18-2
P60368,KRTAP18.2
P43629,KIR3DL1
P43629,CD158E
P43629,NKAT3
P43629,NKB1
Q6P1M3,LLGL2
O14910,LIN7A
O14910,MALS1
O14910,VELI1
Q6ZMV7,LEKR1
P31025,LCN1
P31025,VEGP
Q6UWP7,LCLAT1
Q6UWP7,AGPAT8
Q6UWP7,ALCAT1
Q6UWP7,LYCAT
Q6UWP7,UNQ1849/PRO3579
P48163,ME1
O60942,RNGTT
O60942,CAP1A
A0A075B6I0,IGLV8-61
Q8IW41,MAPKAPK5
Q8IW41,PRAK
Q5TCX8,MAP3K21
Q5TCX8,KIAA1804
Q5TCX8,MLK4
Q86YJ5,MARCHF9
Q86YJ5,MARCH9
Q86YJ5,RNF179
Q8NFP4,MDGA1
Q8NFP4,MAMDC3
Q7KZI7,MARK2
Q7KZI7,EMK1
Q68D85,NCR3LG1
Q68D85,B7H6
Q96KX0,LYZL4
Q96KX0,LYC4
Q9NXC5,MIOS
Q96PC5,MIA2
Q96PC5,CTAGE5
Q96PC5,MEA11
Q96PC5,MEA6
Q96PC5,MGEA11
Q96PC5,MGEA6
Q96MC6,MFSD14A
Q96MC6,HIAT1
Q09327,MGAT3
Q09327,GGNT3
Q86XE3,MICU3
Q86XE3,EFHA2
Q9Y605,MRFAP1
Q9Y605,PAM14
Q9Y605,PGR1
Q96H12,MSANTD3
Q96H12,C9orf30
Q96H12,L8
O95563,MPC2
O95563,BRP44
P49006,MARCKSL1
P49006,MLP
P49006,MRP
Q14149,MORC3
Q14149,KIAA0136
Q14149,NXP2
Q14149,ZCWCC3
Q9NV56,MRGBP
Q9NV56,C20orf20
Q8TDS7,MRGPRD
Q8TDS7,MRGD
Q8N5Y2,MSL3
Q8N5Y2,MSL3L1
O96033,MOCS2
