cc_space,auroc_a,auroc_b,delta_b_minus_a
A1.001,0.707351524375,0.6930504853125,-0.01430103906250002
A2.001,0.65073328375,0.640246683125,-0.010486600624999953
A3.001,0.703034469375,0.6920188671875,-0.011015602187499973
A4.001,0.664543071875,0.6483425853125,-0.01620048656249995
A5.001,0.6185191675,0.60715557,-0.011363597500000044
B1.001,0.7555158021875001,0.746588565625,-0.008927236562500163
B2.001,0.7162657278125,0.7068279131249999,-0.009437814687500046
B3.001,0.7804289178125,0.7702105740625,-0.01021834374999997
B4.001,0.8113453790625,0.7974605315625,-0.013884847500000075
B5.001,0.81134926563126,0.8008427899143529,-0.010506475716907104
C1.001,0.7316416690625,0.7251988571874999,-0.006442811875000176
C2.001,0.7107634909375,0.6991716278125001,-0.011591863124999935
C3.001,0.80916679625,0.79629499125,-0.012871804999999958
C4.001,0.81454891125,0.8014443940625,-0.013104517187499942
C5.001,0.8156561790625,0.8073435178124999,-0.008312661250000075
D1.001,0.7360866646875,0.7167931259375,-0.01929353874999995
D2.001,0.6934435840625,0.679101265625,-0.014342318437500001
D3.001,0.7120743015625,0.70530342875,-0.006770872812499995
D4.001,0.6281387034375,0.6225178696875,-0.005620833749999998
D5.001,0.76007507125,0.74543784875,-0.014637222499999991
E1.001,0.7308523109375,0.7238387784375,-0.00701353250000003
E2.001,0.7457260640625001,0.7348912487499999,-0.01083481531250019
E3.001,0.7123979862500001,0.7010464353124999,-0.011351550937500177
E4.001,0.7373652278125,0.7259787471875001,-0.011386480624999917
E5.001,0.7199508196875,0.7156092503125,-0.004341569374999965
