space,dataset_code,pair,lower,higher,auroc,std,cutoff,mean_positive_rate,n_compounds
DeepCoverMoA,D6.002,sign0→sign1,sign0,sign1,0.9862645382879437,0.0012346069921758602,0.7100074571709072,0.009932551658173782,872
DeepCoverMoA,D6.002,sign0→sign2,sign0,sign2,0.8828239534205456,0.0035360878172564247,0.7100074571709072,0.009932551658173782,872
DeepCoverMoA,D6.002,sign0→sign3,sign0,sign3,0.6977224412504383,0.011864358830666,0.7100074571709072,0.009932551658173782,872
DeepCoverMoA,D6.002,sign1→sign2,sign1,sign2,0.9173788234698341,0.005699774498627853,0.6681070311827999,0.009632414782565676,872
DeepCoverMoA,D6.002,sign1→sign3,sign1,sign3,0.6958089944619121,0.006212865259826275,0.6681070311827999,0.009632414782565676,872
DeepCoverMoA,D6.002,sign2→sign3,sign2,sign3,0.7484829978173668,0.005764691250515612,0.06929523047907996,0.009965533732416432,872
All Shared Proteins,D6.007,sign0→sign1,sign0,sign1,0.9679478094455896,0.0026948539906535463,0.6441354511808415,0.009862556867696404,956
All Shared Proteins,D6.007,sign0→sign2,sign0,sign2,0.9307659198062634,0.0028929947382221603,0.6441354511808415,0.009862556867696404,956
All Shared Proteins,D6.007,sign0→sign3,sign0,sign3,0.6820719773396139,0.007461039981712676,0.6441354511808415,0.009862556867696404,956
All Shared Proteins,D6.007,sign1→sign2,sign1,sign2,0.9315744904116536,0.0020744940080192776,0.5993530502749405,0.01015898938469667,956
All Shared Proteins,D6.007,sign1→sign3,sign1,sign3,0.6685011060506548,0.004131194422292001,0.5993530502749405,0.01015898938469667,956
All Shared Proteins,D6.007,sign2→sign3,sign2,sign3,0.7811974755631816,0.004601781404088358,0.10006892149378177,0.010218687599925893,956
